Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
1,anode__ada__temperature__indoor__ada,ada_temperature,Detail,Ada Temperature,Ada,Temperature,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__temperature__indoor__ada/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Ada Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__temperature__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__temperature__indoor__ada""}"
2,anode__basement__temperature__outdoor__basement,basement_temperature,Detail,Basement Temperature,Basement,Temperature,Outdoor,Basement,haas/sensor/config/sensor/anode/anode__basement__temperature__outdoor__basement/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Basement Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__basement__temperature__outdoor__basement/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__basement__temperature__outdoor__basement""}"
3,anode__deck__temperature__outdoor__deck,deck_temperature,Detail,Deck Temperature,Deck,Temperature,Outdoor,Deck,haas/sensor/config/sensor/anode/anode__deck__temperature__outdoor__deck/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Deck Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__deck__temperature__outdoor__deck/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__deck__temperature__outdoor__deck""}"
4,anode__dining__temperature__indoor__dining,dining_temperature,Detail,Dining Temperature,Dining,Temperature,Indoor,Dining,haas/sensor/config/sensor/anode/anode__dining__temperature__indoor__dining/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Dining Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__dining__temperature__indoor__dining/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__dining__temperature__indoor__dining""}"
5,anode__edwin__temperature__indoor__edwin,edwin_temperature,Detail,Edwin Temperature,Edwin,Temperature,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__temperature__indoor__edwin/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Edwin Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__temperature__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__temperature__indoor__edwin""}"
6,anode__kitchen__temperature__indoor__kitchen,kitchen_temperature,Detail,Kitchen Temperature,Kitchen,Temperature,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__temperature__indoor__kitchen/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Kitchen Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__temperature__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__temperature__indoor__kitchen""}"
7,anode__laundry__temperature__indoor__laundry,laundry_temperature,Detail,Laundry Temperature,Laundry,Temperature,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__temperature__indoor__laundry/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Laundry Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__temperature__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__temperature__indoor__laundry""}"
8,anode__lounge__temperature__indoor__lounge,lounge_temperature,Detail,Lounge Temperature,Lounge,Temperature,Indoor,Lounge,haas/sensor/config/sensor/anode/anode__lounge__temperature__indoor__lounge/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Lounge Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lounge__temperature__indoor__lounge/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lounge__temperature__indoor__lounge""}"
9,anode__office__temperature__indoor__office,office_temperature,Detail,Office Temperature,Office,Temperature,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__temperature__indoor__office/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Office Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__temperature__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__temperature__indoor__office""}"
10,anode__pantry__temperature__indoor__pantry,pantry_temperature,Detail,Pantry Temperature,Pantry,Temperature,Indoor,Pantry,haas/sensor/config/sensor/anode/anode__pantry__temperature__indoor__pantry/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Pantry Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__pantry__temperature__indoor__pantry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__pantry__temperature__indoor__pantry""}"
11,anode__parents__temperature__indoor__parents,parents_temperature,Detail,Parents Temperature,Parents,Temperature,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__temperature__indoor__parents/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Parents Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__temperature__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__temperature__indoor__parents""}"
12,anode__roof__temperature__outdoor__roof,roof_temperature,Detail,Roof Temperature,Roof,Temperature,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__temperature__outdoor__roof/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__temperature__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__temperature__outdoor__roof""}"
13,anode__utility__temperature__indoor__utility,utility_temperature,Detail,Utility Temperature,Utility,Temperature,Indoor,Utility,haas/sensor/config/sensor/anode/anode__utility__temperature__indoor__utility/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Utility Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility__temperature__indoor__utility/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility__temperature__indoor__utility""}"
14,anode__ada__carbon_Ddioxide__indoor__ada,ada_carbon_dioxide,Detail,Ada Carbon Dioxide,Ada,Carbon Dioxide,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Ada Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__carbon_Ddioxide__indoor__ada""}"
