Index ID,Unique ID,Entity ID,Entity Filter,Entity Type,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
1,anode__roof__temperature__conditions__roof,roof_temperature,Graph,Continuous,Roof Temperature,Roof,Temperature,Conditions,Roof,haas/sensor/config/sensor/anode/anode__roof__temperature__conditions__roof/config
2,anode__ada__temperature__conditions__ada,ada_temperature,Graph,Continuous,Ada Temperature,Ada,Temperature,Conditions,Ada,haas/sensor/config/sensor/anode/anode__ada__temperature__conditions__ada/config
3,anode__basement__temperature__conditions__basement,basement_temperature,Detail,Continuous,Basement Temperature,Basement,Temperature,Conditions,Basement,haas/sensor/config/sensor/anode/anode__basement__temperature__conditions__basement/config
4,anode__dining__temperature__conditions__dining,dining_temperature,Detail,Continuous,Dining Temperature,Dining,Temperature,Conditions,Dining,haas/sensor/config/sensor/anode/anode__dining__temperature__conditions__dining/config
5,anode__edwin__temperature__conditions__edwin,edwin_temperature,Graph,Continuous,Edwin Temperature,Edwin,Temperature,Conditions,Edwin,haas/sensor/config/sensor/anode/anode__edwin__temperature__conditions__edwin/config
6,anode__kitchen__temperature__conditions__kitchen,kitchen_temperature,Detail,Continuous,Kitchen Temperature,Kitchen,Temperature,Conditions,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__temperature__conditions__kitchen/config
7,anode__laundry__temperature__conditions__laundry,laundry_temperature,Detail,Continuous,Laundry Temperature,Laundry,Temperature,Conditions,Laundry,haas/sensor/config/sensor/anode/anode__laundry__temperature__conditions__laundry/config
8,anode__lounge__temperature__conditions__lounge,lounge_temperature,Detail,Continuous,Lounge Temperature,Lounge,Temperature,Conditions,Lounge,haas/sensor/config/sensor/anode/anode__lounge__temperature__conditions__lounge/config
9,anode__office__temperature__conditions__office,office_temperature,Detail,Continuous,Office Temperature,Office,Temperature,Conditions,Office,haas/sensor/config/sensor/anode/anode__office__temperature__conditions__office/config
10,anode__pantry__temperature__conditions__pantry,pantry_temperature,Detail,Continuous,Pantry Temperature,Pantry,Temperature,Conditions,Pantry,haas/sensor/config/sensor/anode/anode__pantry__temperature__conditions__pantry/config
11,anode__parents__temperature__conditions__parents,parents_temperature,Graph,Continuous,Parents Temperature,Parents,Temperature,Conditions,Parents,haas/sensor/config/sensor/anode/anode__parents__temperature__conditions__parents/config
12,anode__rack__temperature__conditions__home,rack_temperature,Detail,Continuous,Rack Temperature,Rack,Temperature,Conditions,Home,haas/sensor/config/sensor/anode/anode__rack__temperature__conditions__home/config
13,anode__dining__carbon_Ddioxide__conditions__dining,dining_carbon_dioxide,Detail,Continuous,Dining Carbon Dioxide,Dining,Carbon Dioxide,Conditions,Dining,haas/sensor/config/sensor/anode/anode__dining__carbon_Ddioxide__conditions__dining/config
14,anode__edwin__carbon_Ddioxide__conditions__edwin,edwin_carbon_dioxide,Graph,Continuous,Edwin Carbon Dioxide,Edwin,Carbon Dioxide,Conditions,Edwin,haas/sensor/config/sensor/anode/anode__edwin__carbon_Ddioxide__conditions__edwin/config
15,anode__kitchen__carbon_Ddioxide__conditions__kitchen,kitchen_carbon_dioxide,Graph,Continuous,Kitchen Carbon Dioxide,Kitchen,Carbon Dioxide,Conditions,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__carbon_Ddioxide__conditions__kitchen/config
16,anode__lounge__carbon_Ddioxide__conditions__lounge,lounge_carbon_dioxide,Graph,Continuous,Lounge Carbon Dioxide,Lounge,Carbon Dioxide,Conditions,Lounge,haas/sensor/config/sensor/anode/anode__lounge__carbon_Ddioxide__conditions__lounge/config
17,anode__office__carbon_Ddioxide__conditions__office,office_carbon_dioxide,Graph,Continuous,Office Carbon Dioxide,Office,Carbon Dioxide,Conditions,Office,haas/sensor/config/sensor/anode/anode__office__carbon_Ddioxide__conditions__office/config
18,anode__pantry__carbon_Ddioxide__conditions__pantry,pantry_carbon_dioxide,Detail,Continuous,Pantry Carbon Dioxide,Pantry,Carbon Dioxide,Conditions,Pantry,haas/sensor/config/sensor/anode/anode__pantry__carbon_Ddioxide__conditions__pantry/config
19,anode__parents__carbon_Ddioxide__conditions__parents,parents_carbon_dioxide,Detail,Continuous,Parents Carbon Dioxide,Parents,Carbon Dioxide,Conditions,Parents,haas/sensor/config/sensor/anode/anode__parents__carbon_Ddioxide__conditions__parents/config
20,anode__roof__humidity__conditions__roof,roof_humidity,Graph,Continuous,Roof Humidity,Roof,Humidity,Conditions,Roof,haas/sensor/config/sensor/anode/anode__roof__humidity__conditions__roof/config
21,anode__ada__humidity__conditions__ada,ada_humidity,Graph,Continuous,Ada Humidity,Ada,Humidity,Conditions,Ada,haas/sensor/config/sensor/anode/anode__ada__humidity__conditions__ada/config
22,anode__basement__humidity__conditions__basement,basement_humidity,Detail,Continuous,Basement Humidity,Basement,Humidity,Conditions,Basement,haas/sensor/config/sensor/anode/anode__basement__humidity__conditions__basement/config
23,anode__dining__humidity__conditions__dining,dining_humidity,Detail,Continuous,Dining Humidity,Dining,Humidity,Conditions,Dining,haas/sensor/config/sensor/anode/anode__dining__humidity__conditions__dining/config
24,anode__edwin__humidity__conditions__edwin,edwin_humidity,Graph,Continuous,Edwin Humidity,Edwin,Humidity,Conditions,Edwin,haas/sensor/config/sensor/anode/anode__edwin__humidity__conditions__edwin/config
25,anode__kitchen__humidity__conditions__kitchen,kitchen_humidity,Detail,Continuous,Kitchen Humidity,Kitchen,Humidity,Conditions,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__humidity__conditions__kitchen/config
26,anode__laundry__humidity__conditions__laundry,laundry_humidity,Detail,Continuous,Laundry Humidity,Laundry,Humidity,Conditions,Laundry,haas/sensor/config/sensor/anode/anode__laundry__humidity__conditions__laundry/config
27,anode__lounge__humidity__conditions__lounge,lounge_humidity,Detail,Continuous,Lounge Humidity,Lounge,Humidity,Conditions,Lounge,haas/sensor/config/sensor/anode/anode__lounge__humidity__conditions__lounge/config
28,anode__office__humidity__conditions__office,office_humidity,Detail,Continuous,Office Humidity,Office,Humidity,Conditions,Office,haas/sensor/config/sensor/anode/anode__office__humidity__conditions__office/config
