Source,Date,GBP/AUD,USD/AUD
RBA,1983-12-12,0.6392,0.9175
RBA,1983-12-13,0.6308,0.901
RBA,1983-12-14,0.6347,0.9
RBA,1983-12-15,0.6321,0.8978
RBA,1983-12-16,0.6287,0.8928
RBA,1983-12-17,0.6287,0.8928
RBA,1983-12-18,0.6287,0.8928
RBA,1983-12-19,0.619,0.877
RBA,1983-12-20,0.6189,0.8795
RBA,1983-12-21,0.6274,0.8905
RBA,1983-12-22,0.6308,0.9005
RBA,1983-12-23,0.6296,0.9005
RBA,1983-12-24,0.6296,0.9005
RBA,1983-12-25,0.6296,0.9005
RBA,1983-12-26,0.6296,0.9005
RBA,1983-12-27,0.6296,0.9005
RBA,1983-12-28,0.626,0.8985
RBA,1983-12-29,0.6218,0.8925
RBA,1983-12-30,0.6205,0.902
RBA,1983-12-31,0.6205,0.902
RBA,1984-01-01,0.6205,0.902
RBA,1984-01-02,0.6205,0.902
RBA,1984-01-03,0.6244,0.9025
RBA,1984-01-04,0.6319,0.8998
RBA,1984-01-05,0.6343,0.8988
RBA,1984-01-06,0.64,0.9023
RBA,1984-01-07,0.64,0.9023
RBA,1984-01-08,0.64,0.9023
RBA,1984-01-09,0.6491,0.9083
RBA,1984-01-10,0.6516,0.906
RBA,1984-01-11,0.6495,0.908
RBA,1984-01-12,0.6472,0.9052
RBA,1984-01-13,0.645,0.905
RBA,1984-01-14,0.645,0.905
RBA,1984-01-15,0.645,0.905
RBA,1984-01-16,0.6393,0.9038
RBA,1984-01-17,0.6351,0.903
RBA,1984-01-18,0.6405,0.902
RBA,1984-01-19,0.6361,0.8985
RBA,1984-01-20,0.6356,0.9015
RBA,1984-01-21,0.6356,0.9015
RBA,1984-01-22,0.6356,0.9015
RBA,1984-01-23,0.6438,0.9024
RBA,1984-01-24,0.6463,0.9067
RBA,1984-01-25,0.6482,0.9082
RBA,1984-01-26,0.6454,0.9087
RBA,1984-01-27,0.65,0.9131
RBA,1984-01-28,0.65,0.9131
RBA,1984-01-29,0.65,0.9131
RBA,1984-01-30,0.65,0.9131
RBA,1984-01-31,0.6526,0.9178
RBA,1984-02-01,0.655,0.9203
RBA,1984-02-02,0.6533,0.9219
RBA,1984-02-03,0.6466,0.924
RBA,1984-02-04,0.6466,0.924
RBA,1984-02-05,0.6466,0.924
RBA,1984-02-06,0.6457,0.9226
RBA,1984-02-07,0.6509,0.9214
RBA,1984-02-08,0.6547,0.9247
RBA,1984-02-09,0.654,0.9296
RBA,1984-02-10,0.6591,0.9307
RBA,1984-02-11,0.6591,0.9307
RBA,1984-02-12,0.6591,0.9307
RBA,1984-02-13,0.6566,0.9316
RBA,1984-02-14,0.6574,0.9326
RBA,1984-02-15,0.6527,0.9381
RBA,1984-02-16,0.6589,0.9464
RBA,1984-02-17,0.653,0.9453
RBA,1984-02-18,0.653,0.9453
RBA,1984-02-19,0.653,0.9453
RBA,1984-02-20,0.6523,0.9464
RBA,1984-02-21,0.6455,0.935
RBA,1984-02-22,0.6475,0.9382
RBA,1984-02-23,0.6499,0.945
RBA,1984-02-24,0.6456,0.944
RBA,1984-02-25,0.6456,0.944
RBA,1984-02-26,0.6456,0.944
RBA,1984-02-27,0.6422,0.9426
RBA,1984-02-28,0.6339,0.944
RBA,1984-02-29,0.6326,0.9429
RBA,1984-03-01,0.6349,0.9435
RBA,1984-03-02,0.6349,0.9432
RBA,1984-03-03,0.6349,0.9432
RBA,1984-03-04,0.6349,0.9432
RBA,1984-03-05,0.6412,0.9508
RBA,1984-03-06,0.642,0.955
RBA,1984-03-07,0.6442,0.9574
RBA,1984-03-08,0.6492,0.9533
RBA,1984-03-09,0.6499,0.9527
RBA,1984-03-10,0.6499,0.9527
RBA,1984-03-11,0.6499,0.9527
RBA,1984-03-12,0.6568,0.9546
RBA,1984-03-13,0.6606,0.9614
RBA,1984-03-14,0.6569,0.9648
RBA,1984-03-15,0.6594,0.9653
RBA,1984-03-16,0.6638,0.9653
RBA,1984-03-17,0.6638,0.9653
RBA,1984-03-18,0.6638,0.9653
RBA,1984-03-19,0.6624,0.9535
RBA,1984-03-20,0.664,0.9573
RBA,1984-03-21,0.6657,0.9553
RBA,1984-03-22,0.6569,0.9418
RBA,1984-03-23,0.6561,0.9395
RBA,1984-03-24,0.6561,0.9395
RBA,1984-03-25,0.6561,0.9395
RBA,1984-03-26,0.6595,0.9487
RBA,1984-03-27,0.6543,0.9475
RBA,1984-03-28,0.6486,0.9384
RBA,1984-03-29,0.6441,0.9365
RBA,1984-03-30,0.6461,0.935
RBA,1984-03-31,0.6461,0.935
RBA,1984-04-01,0.6461,0.935
RBA,1984-04-02,0.6519,0.9389
RBA,1984-04-03,0.6577,0.9389
RBA,1984-04-04,0.6569,0.9393
RBA,1984-04-05,0.652,0.9333
RBA,1984-04-06,0.6466,0.9185
RBA,1984-04-07,0.6466,0.9185
RBA,1984-04-08,0.6466,0.9185
RBA,1984-04-09,0.6374,0.9115
RBA,1984-04-10,0.6414,0.9153
RBA,1984-04-11,0.6408,0.9202
RBA,1984-04-12,0.6421,0.9224
RBA,1984-04-13,0.6401,0.9175
RBA,1984-04-14,0.6401,0.9175
RBA,1984-04-15,0.6401,0.9175
RBA,1984-04-16,0.6451,0.9184
RBA,1984-04-17,0.6478,0.9212
RBA,1984-04-18,0.6487,0.9231
RBA,1984-04-19,0.6504,0.923
RBA,1984-04-20,0.6504,0.923
RBA,1984-04-21,0.6504,0.923
RBA,1984-04-22,0.6504,0.923
RBA,1984-04-23,0.6504,0.923
RBA,1984-04-24,0.6505,0.9208
RBA,1984-04-25,0.6505,0.9208
RBA,1984-04-26,0.6512,0.9207
RBA,1984-04-27,0.6567,0.9213
RBA,1984-04-28,0.6567,0.9213
RBA,1984-04-29,0.6567,0.9213
RBA,1984-04-30,0.6568,0.9201
RBA,1984-05-01,0.6601,0.9228
RBA,1984-05-02,0.6617,0.9253
RBA,1984-05-03,0.6629,0.9309
RBA,1984-05-04,0.6547,0.927
RBA,1984-05-05,0.6547,0.927
RBA,1984-05-06,0.6547,0.927
RBA,1984-05-07,0.6591,0.9198
RBA,1984-05-08,0.6598,0.9144
RBA,1984-05-09,0.6557,0.9082
RBA,1984-05-10,0.6555,0.9044
RBA,1984-05-11,0.6535,0.904
RBA,1984-05-12,0.6535,0.904
RBA,1984-05-13,0.6535,0.904
RBA,1984-05-14,0.65,0.8983
RBA,1984-05-15,0.6473,0.8991
RBA,1984-05-16,0.6493,0.902
RBA,1984-05-17,0.6447,0.9001
RBA,1984-05-18,0.6426,0.8929
RBA,1984-05-19,0.6426,0.8929
RBA,1984-05-20,0.6426,0.8929
RBA,1984-05-21,0.6401,0.8914
RBA,1984-05-22,0.6456,0.8988
RBA,1984-05-23,0.6509,0.9032
RBA,1984-05-24,0.6552,0.9009
RBA,1984-05-25,0.6505,0.9019
RBA,1984-05-26,0.6505,0.9019
RBA,1984-05-27,0.6505,0.9019
RBA,1984-05-28,0.6492,0.8989
RBA,1984-05-29,0.6492,0.8972
RBA,1984-05-30,0.6482,0.897
RBA,1984-05-31,0.6503,0.8992
RBA,1984-06-01,0.6482,0.8996
RBA,1984-06-02,0.6482,0.8996
RBA,1984-06-03,0.6482,0.8996
RBA,1984-06-04,0.6442,0.9044
RBA,1984-06-05,0.6421,0.9004
RBA,1984-06-06,0.6414,0.8941
RBA,1984-06-07,0.6414,0.8972
RBA,1984-06-08,0.6428,0.8984
RBA,1984-06-09,0.6428,0.8984
RBA,1984-06-10,0.6428,0.8984
RBA,1984-06-11,0.6428,0.8984
RBA,1984-06-12,0.6459,0.8964
RBA,1984-06-13,0.6464,0.8954
RBA,1984-06-14,0.6446,0.8936
RBA,1984-06-15,0.6409,0.8879
RBA,1984-06-16,0.6409,0.8879
RBA,1984-06-17,0.6409,0.8879
RBA,1984-06-18,0.64,0.8828
RBA,1984-06-19,0.6419,0.8835
