Source,Date,GBP/AUD,USD/AUD,SGD/AUD
RBA,1983-12-12,0.6392,0.9175,1.9588
RBA,1983-12-13,0.6308,0.901,1.9245
RBA,1983-12-14,0.6347,0.9,1.9217
RBA,1983-12-15,0.6321,0.8978,1.9154
RBA,1983-12-16,0.6287,0.8928,1.9078
RBA,1983-12-17,0.6287,0.8928,1.9078
RBA,1983-12-18,0.6287,0.8928,1.9078
RBA,1983-12-19,0.619,0.877,1.875
RBA,1983-12-20,0.6189,0.8795,1.8755
RBA,1983-12-21,0.6274,0.8905,1.8981
RBA,1983-12-22,0.6308,0.9005,1.9182
RBA,1983-12-23,0.6296,0.9005,1.9156
RBA,1983-12-24,0.6296,0.9005,1.9156
RBA,1983-12-25,0.6296,0.9005,1.9156
RBA,1983-12-26,0.6296,0.9005,1.9156
RBA,1983-12-27,0.6296,0.9005,1.9156
RBA,1983-12-28,0.626,0.8985,1.9125
RBA,1983-12-29,0.6218,0.8925,1.8992
RBA,1983-12-30,0.6205,0.902,1.9158
RBA,1983-12-31,0.6205,0.902,1.9158
RBA,1984-01-01,0.6205,0.902,1.9158
RBA,1984-01-02,0.6205,0.902,1.9158
RBA,1984-01-03,0.6244,0.9025,1.9171
RBA,1984-01-04,0.6319,0.8998,1.9154
RBA,1984-01-05,0.6343,0.8988,1.9162
RBA,1984-01-06,0.64,0.9023,1.9246
RBA,1984-01-07,0.64,0.9023,1.9246
RBA,1984-01-08,0.64,0.9023,1.9246
RBA,1984-01-09,0.6491,0.9083,1.9371
RBA,1984-01-10,0.6516,0.906,1.9325
RBA,1984-01-11,0.6495,0.908,1.9349
RBA,1984-01-12,0.6472,0.9052,1.9293
RBA,1984-01-13,0.645,0.905,1.9286
RBA,1984-01-14,0.645,0.905,1.9286
RBA,1984-01-15,0.645,0.905,1.9286
RBA,1984-01-16,0.6393,0.9038,1.9236
RBA,1984-01-17,0.6351,0.903,1.9238
RBA,1984-01-18,0.6405,0.902,1.9231
RBA,1984-01-19,0.6361,0.8985,1.9144
RBA,1984-01-20,0.6356,0.9015,1.9197
RBA,1984-01-21,0.6356,0.9015,1.9197
RBA,1984-01-22,0.6356,0.9015,1.9197
RBA,1984-01-23,0.6438,0.9024,1.923
RBA,1984-01-24,0.6463,0.9067,1.9313
RBA,1984-01-25,0.6482,0.9082,1.9349
RBA,1984-01-26,0.6454,0.9087,1.9354
RBA,1984-01-27,0.65,0.9131,1.9454
RBA,1984-01-28,0.65,0.9131,1.9454
RBA,1984-01-29,0.65,0.9131,1.9454
RBA,1984-01-30,0.65,0.9131,1.9454
RBA,1984-01-31,0.6526,0.9178,1.9555
RBA,1984-02-01,0.655,0.9203,1.9607
RBA,1984-02-02,0.6533,0.9219,1.9632
RBA,1984-02-03,0.6466,0.924,1.9658
RBA,1984-02-04,0.6466,0.924,1.9658
RBA,1984-02-05,0.6466,0.924,1.9658
RBA,1984-02-06,0.6457,0.9226,1.9638
RBA,1984-02-07,0.6509,0.9214,1.963
RBA,1984-02-08,0.6547,0.9247,1.9706
RBA,1984-02-09,0.654,0.9296,1.981
RBA,1984-02-10,0.6591,0.9307,1.9837
RBA,1984-02-11,0.6591,0.9307,1.9837
